log_age,log(Z),mini,mact,logl,logt,logg,phase,composition,log(weight),log(mdot),V,U,B,Buser_B,Cousins_R,Cousins_I,CFHT_B,CFHT_R,CFHT_I,2MASS_J,2MASS_H,2MASS_Ks,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,WFPC2_F255W,WFPC2_F300W,WFPC2_F336W,WFPC2_F439W,WFPC2_F450W,WFPC2_F555W,WFPC2_F606W,WFPC2_F814W,WFPC2_F850LP,WFC_ACS_F435W,ACS_WFC_F475W,WFC_ACS_F555W,ACS_WFC_F606W,WFC_ACS_F625W,WFC_ACS_F775W,ACS_WFC_F814W,WFC_ACS_F850LP,WFC3_UVIS_F218W,WFC3_UVIS_F225W,WFC3_UVIS_F275W,WFC3_UVIS_F336W,WFC3_UVIS_F390W,WFC3_UVIS_F438W,WFC3_UVIS_F475W,WFC3_UVIS_F555W,WFC3_UVIS_F606W,WFC3_UVIS_F775W,WFC3_UVIS_F814W,WFC3_UVIS_F850LP,WFC3_IR_F098M,WFC3_IR_F105W,WFC3_IR_F110W,WFC3_IR_F125W,WFC3_IR_F140W,WFC3_IR_F160W,IRAC_1,IRAC_2,IRAC_3,IRAC_4,ISAAC_Ks,FORS_V,FORS_R,NICMOS_F110W,NICMOS_F160W,GALEX_FUV,GALEX_NUV,DES_g,DES_r,DES_i,DES_z,DES_Y,WFCAM_Z,WFCAM_Y,WFCAM_J,WFCAM_H,WFCAM_K,Steidel_Un,Steidel_G,Steidel_Rs,Steidel_I,MegaCam_u,MegaCam_g,MegaCam_r,MegaCam_i,MegaCam_z,WISE_W1,WISE_W2,WISE_W3,WISE_W4,UVOT_W2,UVOT_M2,UVOT_W1,MIPS_24,MIPS_70,MIPS_160,SCUBA_450WB,SCUBA_850WB,PACS_70,PACS_100,PACS_160,SPIRE_250,SPIRE_350,SPIRE_500,IRAS_12,IRAS_25,IRAS_60,IRAS_100,Bessell_L,Bessell_LP,Bessell_M,Stromgren_u,Stromgren_v,Stromgren_b,Stromgren_y,I1500,I2300,I2800,JWST_F070W,JWST_F090W,JWST_F115W,JWST_F150W,JWST_F200W,JWST_F277W,JWST_F356W,JWST_F444W,NEWFIRM_J1,NEWFIRM_J2,NEWFIRM_J3,NEWFIRM_H1,NEWFIRM_H2,NEWFIRM_K,VISTA_Y,VISTA_J,VISTA_H,VISTA_K,SUPRIMECAM_B,SUPRIMECAM_g,SUPRIMECAM_V,SUPRIMECAM_r,SUPRIMECAM_i,SUPRIMECAM_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y
8.55,-3.3477,0.1,0.0999998,-2.7743,3.5397,5.3258,-1.0,0.5449,-0.6767,-16.1103,12.501,15.983,13.911,13.797,11.7,11.116,13.761,11.715,11.113,11.066,11.002,11.265,16.094,13.411,11.921,11.231,11.069,21.105,17.571,16.631,14.035,13.622,12.504,12.08,11.136,11.065,13.969,13.325,12.604,12.142,11.887,11.17,11.13,11.067,21.633,21.614,20.521,16.978,15.004,13.986,13.282,12.629,12.165,11.176,11.136,11.065,11.059,11.051,11.06,11.065,11.067,11.033,11.923,12.405,12.864,13.406,11.264,12.436,11.708,11.062,11.029,36.851,23.609,13.239,11.846,11.162,11.066,11.074,11.075,11.059,11.07,11.009,11.287,15.95,13.365,11.591,11.113,15.237,13.148,11.907,11.173,11.069,11.886,12.46,14.082,15.456,19.787,23.577,18.303,15.615,17.943,19.62,21.945,23.313,17.883,18.641,19.635,20.613,21.347,22.111,14.093,15.589,17.424,18.613,11.897,12.003,12.568,16.538,14.625,13.281,12.467,39.021,26.344,20.14,11.498,11.064,11.055,11.044,11.203,11.716,11.921,12.342,11.048,11.067,11.07,11.013,11.007,11.269,11.063,11.07,11.008,11.263,13.732,13.321,12.495,11.899,11.181,11.063,13.185,11.938,11.214,11.072,11.052
8.55,-3.3477,0.10221184,0.10221164,-2.7558,3.5413,5.3214,-1.0,0.5449,-1.5833,-16.0792,12.428,15.903,13.837,13.724,11.63,11.063,13.688,11.641,11.062,11.034,10.97,11.233,16.013,13.337,11.847,11.17,11.025,21.019,17.496,16.552,13.961,13.548,12.431,12.006,11.083,11.022,13.895,13.252,12.531,12.068,11.813,11.113,11.078,11.024,21.562,21.55,20.43,16.896,14.927,13.912,13.209,12.555,12.091,11.118,11.082,11.022,11.02,11.014,11.025,11.033,11.036,11.001,11.895,12.377,12.836,13.378,11.232,12.363,11.638,11.026,10.998,36.735,23.506,13.167,11.772,11.106,11.024,11.035,11.031,11.021,11.038,10.977,11.255,15.87,13.292,11.518,11.061,15.16,13.075,11.833,11.116,11.026,11.857,12.432,14.055,15.43,19.714,23.489,18.226,15.588,17.917,19.593,21.919,23.286,17.856,18.614,19.609,20.587,21.321,22.085,14.066,15.562,17.397,18.587,11.869,11.977,12.539,16.455,14.55,13.208,12.395,38.904,26.232,20.046,11.43,11.021,11.021,11.012,11.17,11.684,11.893,12.315,11.011,11.034,11.038,10.982,10.976,11.237,11.025,11.038,10.976,11.231,13.658,13.248,12.423,11.825,11.124,11.021,13.113,11.863,11.155,11.028,11.012
8.55,-3.3477,0.10620212,0.1062019,-2.7215,3.5442,5.3128,-1.0,0.5449,-1.4773,-16.0279,12.297,15.762,13.705,13.591,11.504,10.968,13.555,11.508,10.969,10.973,10.912,11.173,15.87,13.206,11.714,11.06,10.945,20.862,17.36,16.412,13.828,13.416,12.3,11.874,10.985,10.944,13.763,13.121,12.4,11.936,11.68,11.01,10.982,10.945,21.435,21.434,20.269,16.749,14.791,13.779,13.078,12.424,11.959,11.013,10.985,10.944,10.947,10.946,10.96,10.972,10.976,10.942,11.844,12.325,12.784,13.327,11.173,12.232,11.512,10.959,10.939,36.51,23.319,13.036,11.639,11.005,10.945,10.962,10.95,10.951,10.977,10.919,11.195,15.727,13.16,11.386,10.967,15.023,12.944,11.7,11.012,10.945,11.803,12.38,14.004,15.38,19.582,23.332,18.089,15.538,17.867,19.544,21.869,23.237,17.807,18.565,19.559,20.537,21.271,22.035,14.015,15.512,17.347,18.537,11.817,11.927,12.486,16.308,14.414,13.076,12.265,38.681,26.027,19.878,11.307,10.941,10.958,10.953,11.11,11.625,11.841,12.263,10.943,10.972,10.978,10.923,10.917,11.177,10.954,10.977,10.918,11.171,13.526,13.117,12.292,11.692,11.021,10.942,12.982,11.73,11.047,10.946,10.937
8.55,-3.3477,0.11049269,0.11049246,-2.6841,3.5473,5.303,-1.0,0.5449,-1.465,-15.9791,12.156,15.609,13.551,13.438,11.377,10.874,13.402,11.372,10.876,10.887,10.83,11.091,15.717,13.054,11.581,10.95,10.862,20.584,17.194,16.235,13.672,13.264,12.16,11.737,10.888,10.861,13.609,12.97,12.259,11.797,11.544,10.908,10.886,10.862,21.285,21.27,19.979,16.555,14.634,13.623,12.927,12.283,11.82,10.909,10.888,10.861,10.864,10.863,10.875,10.886,10.889,10.857,11.767,12.249,12.707,13.251,11.09,12.093,11.384,10.874,10.855,35.647,22.886,12.885,11.504,10.904,10.863,10.879,10.866,10.868,10.891,10.836,11.113,15.579,13.008,11.251,10.873,14.872,12.795,11.565,10.909,10.862,11.724,12.304,13.928,15.305,19.43,23.059,17.925,15.464,17.793,19.47,21.796,23.163,17.733,18.491,19.486,20.463,21.197,21.961,13.939,15.438,17.274,18.464,11.74,11.851,12.41,16.126,14.256,12.926,12.121,37.859,25.451,19.576,11.183,10.858,10.873,10.868,11.026,11.54,11.764,12.188,10.86,10.887,10.891,10.839,10.835,11.094,10.87,10.891,10.835,11.088,13.374,12.965,12.152,11.557,10.918,10.86,12.831,11.596,10.939,10.862,10.855
8.55,-3.3477,0.11517187,0.11517163,-2.6425,3.5508,5.2919,-1.0,0.5449,-1.6395,-15.9316,12.006,15.448,13.39,13.277,11.241,10.77,13.241,11.227,10.774,10.793,10.739,10.999,15.557,12.894,11.438,10.831,10.771,20.319,17.022,16.053,13.508,13.103,12.012,11.591,10.781,10.77,13.447,12.81,12.109,11.65,11.398,10.796,10.78,10.77,21.126,21.099,19.706,16.358,14.47,13.46,12.768,12.133,11.673,10.796,10.782,10.77,10.772,10.771,10.782,10.792,10.794,10.764,11.681,12.165,12.622,13.167,10.999,11.945,11.247,10.781,10.763,35.088,22.519,12.727,11.358,10.794,10.771,10.787,10.775,10.776,10.796,10.745,11.022,15.424,12.847,11.106,10.771,14.713,12.638,11.422,10.796,10.771,11.636,12.22,13.845,15.223,19.27,22.798,17.754,15.381,17.712,19.389,21.714,23.082,17.651,18.41,19.404,20.382,21.116,21.88,13.856,15.356,17.192,18.382,11.654,11.768,12.325,15.94,14.089,12.768,11.968,37.314,25.006,19.295,11.048,10.766,10.78,10.774,10.934,11.447,11.678,12.104,10.768,10.793,10.796,10.747,10.745,11.003,10.778,10.796,10.744,10.997,13.214,12.805,12.003,11.412,10.805,10.768,12.673,11.451,10.822,10.771,10.764
8.55,-3.3477,0.11676646,0.11676623,-2.6279,3.552,5.2879,-1.0,0.5449,-1.5803,-15.9174,11.955,15.394,13.335,13.222,11.194,10.734,13.187,11.177,10.738,10.76,10.707,10.967,15.503,12.839,11.389,10.789,10.739,20.235,16.964,15.992,13.453,13.048,11.961,11.541,10.744,10.738,13.392,12.756,12.058,11.6,11.348,10.757,10.744,10.738,21.072,21.042,19.619,16.293,14.414,13.404,12.714,12.082,11.622,10.756,10.745,10.738,10.74,10.739,10.75,10.759,10.761,10.732,11.651,12.136,12.593,13.137,10.967,11.894,11.2,10.749,10.731,34.935,22.408,12.673,11.309,10.756,10.74,10.755,10.743,10.744,10.763,10.713,10.99,15.371,12.793,11.057,10.735,14.66,12.584,11.372,10.757,10.739,11.606,12.191,13.816,15.194,19.216,22.714,17.696,15.353,17.683,19.36,21.686,23.053,17.623,18.381,19.376,20.353,21.087,21.851,13.827,15.327,17.163,18.354,11.624,11.738,12.295,15.877,14.033,12.714,11.916,37.164,24.877,19.206,11.002,10.734,10.748,10.741,10.901,11.415,11.648,12.074,10.737,10.76,10.763,10.715,10.714,10.971,10.746,10.763,10.713,10.965,13.16,12.751,11.952,11.362,10.766,10.737,12.619,11.402,10.781,10.739,10.733
8.55,-3.3477,0.12264359,0.12264334,-2.5743,3.5565,5.2729,-1.0,0.5449,-1.3848,-15.8658,11.773,15.203,13.141,13.029,11.025,10.604,12.993,10.999,10.609,10.64,10.591,10.85,15.311,12.647,11.214,10.639,10.622,19.952,16.761,15.779,13.257,12.855,11.781,11.363,10.609,10.621,13.198,12.564,11.876,11.42,11.171,10.616,10.611,10.621,20.881,20.84,19.331,16.068,14.218,13.209,12.522,11.9,11.442,10.613,10.61,10.621,10.623,10.622,10.631,10.639,10.64,10.613,11.542,12.028,12.484,13.029,10.85,11.713,11.032,10.63,10.613,34.479,22.054,12.481,11.131,10.616,10.623,10.637,10.625,10.626,10.642,10.596,10.873,15.185,12.599,10.88,10.605,14.469,12.394,11.197,10.615,10.622,11.493,12.083,13.709,15.089,19.024,22.434,17.494,15.247,17.578,19.255,21.581,22.948,17.518,18.276,19.271,20.249,20.983,21.747,13.72,15.221,17.058,18.249,11.513,11.631,12.186,15.661,13.835,12.524,11.73,36.716,24.475,18.912,10.837,10.617,10.629,10.621,10.783,11.296,11.538,11.967,10.62,10.64,10.641,10.596,10.598,10.854,10.629,10.642,10.596,10.848,12.968,12.559,11.77,11.186,10.624,10.62,12.427,11.226,10.634,10.621,10.616
8.55,-3.3477,0.12912826,0.129128,-2.5142,3.5615,5.2556,-1.0,0.5449,-1.5409,-15.8148,11.577,15.0,12.935,12.823,10.843,10.458,12.787,10.808,10.465,10.505,10.461,10.72,15.109,12.441,11.026,10.475,10.491,19.674,16.548,15.558,13.049,12.649,11.587,11.171,10.46,10.49,12.992,12.359,11.68,11.226,10.979,10.46,10.463,10.491,20.677,20.628,19.049,15.835,14.01,13.001,12.318,11.704,11.249,10.456,10.461,10.491,10.492,10.491,10.498,10.505,10.505,10.48,11.419,11.907,12.362,12.908,10.719,11.519,10.848,10.497,10.481,34.083,21.723,12.277,10.94,10.463,10.492,10.506,10.494,10.495,10.507,10.466,10.743,14.987,12.393,10.689,10.461,14.267,12.191,11.007,10.459,10.491,11.367,11.962,13.589,14.97,18.82,22.157,17.28,15.129,17.46,19.138,21.463,22.831,17.4,18.158,19.153,20.131,20.865,21.629,13.6,15.102,16.94,18.131,11.39,11.51,12.065,15.436,13.625,12.32,11.531,36.326,24.111,18.625,10.656,10.486,10.497,10.488,10.651,11.163,11.415,11.846,10.489,10.506,10.506,10.464,10.469,10.723,10.498,10.507,10.466,10.717,12.763,12.354,11.575,10.995,10.468,10.49,12.224,11.035,10.471,10.49,10.487
8.55,-3.3477,0.13176782,0.13176755,-2.4897,3.5635,5.2485,-1.0,0.5449,-1.6656,-15.7952,11.5,14.921,12.854,12.742,10.77,10.4,12.706,10.731,10.407,10.451,10.408,10.667,15.03,12.361,10.951,10.409,10.438,19.57,16.465,15.472,12.967,12.568,11.51,11.095,10.4,10.437,12.911,12.279,11.602,11.149,10.903,10.398,10.403,10.438,20.597,20.545,18.943,15.746,13.929,12.919,12.237,11.627,11.172,10.392,10.401,10.438,10.439,10.438,10.445,10.45,10.45,10.426,11.369,11.858,12.312,12.859,10.666,11.442,10.776,10.443,10.428,33.944,21.602,12.197,10.864,10.401,10.439,10.453,10.441,10.442,10.453,10.413,10.69,14.909,12.312,10.613,10.403,14.187,12.111,10.932,10.396,10.438,11.316,11.913,13.54,14.922,18.74,22.052,17.197,15.08,17.412,19.09,21.416,22.783,17.352,18.111,19.105,20.083,20.817,21.581,13.551,15.054,16.892,18.083,11.34,11.461,12.015,15.349,13.543,12.24,11.453,36.189,23.98,18.518,10.584,10.433,10.443,10.433,10.597,11.109,11.365,11.797,10.437,10.452,10.451,10.411,10.416,10.67,10.444,10.453,10.413,10.664,12.682,12.273,11.498,10.919,10.405,10.437,12.143,10.96,10.406,10.437,10.434
8.55,-3.3477,0.136259,0.13625872,-2.4471,3.5671,5.2358,-1.0,0.5449,-1.4527,-15.7644,11.368,14.787,12.716,12.604,10.645,10.298,12.569,10.602,10.306,10.356,10.316,10.575,14.896,12.224,10.823,10.295,10.346,19.398,16.325,15.327,12.829,12.43,11.379,10.965,10.296,10.346,12.774,12.142,11.471,11.018,10.773,10.29,10.3,10.346,20.461,20.406,18.77,15.596,13.791,12.781,12.101,11.495,11.041,10.283,10.298,10.346,10.348,10.346,10.351,10.356,10.355,10.332,11.282,11.773,12.226,12.774,10.574,11.312,10.651,10.35,10.335,33.724,21.407,12.061,10.734,10.294,10.348,10.36,10.349,10.35,10.358,10.321,10.598,14.778,12.175,10.484,10.302,14.052,11.975,10.803,10.288,10.346,11.227,11.827,13.455,14.838,18.604,21.881,17.056,14.997,17.329,19.007,21.332,22.7,17.269,18.027,19.022,20.0,20.734,21.498,13.466,14.97,16.809,18.0,11.252,11.376,11.929,15.203,13.403,12.104,11.319,35.971,23.77,18.344,10.461,10.341,10.35,10.339,10.504,11.016,11.278,11.712,10.345,10.358,10.356,10.318,10.325,10.578,10.352,10.358,10.321,10.572,12.546,12.137,11.367,10.79,10.296,10.345,12.007,10.831,10.294,10.345,10.343
