log_age,log(Z),mini,mact,logl,logt,logg,phase,composition,log(weight),log(mdot),V,U,B,Buser_B,Cousins_R,Cousins_I,CFHT_B,CFHT_R,CFHT_I,2MASS_J,2MASS_H,2MASS_Ks,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,WFPC2_F255W,WFPC2_F300W,WFPC2_F336W,WFPC2_F439W,WFPC2_F450W,WFPC2_F555W,WFPC2_F606W,WFPC2_F814W,WFPC2_F850LP,WFC_ACS_F435W,ACS_WFC_F475W,WFC_ACS_F555W,ACS_WFC_F606W,WFC_ACS_F625W,WFC_ACS_F775W,ACS_WFC_F814W,WFC_ACS_F850LP,WFC3_UVIS_F218W,WFC3_UVIS_F225W,WFC3_UVIS_F275W,WFC3_UVIS_F336W,WFC3_UVIS_F390W,WFC3_UVIS_F438W,WFC3_UVIS_F475W,WFC3_UVIS_F555W,WFC3_UVIS_F606W,WFC3_UVIS_F775W,WFC3_UVIS_F814W,WFC3_UVIS_F850LP,WFC3_IR_F098M,WFC3_IR_F105W,WFC3_IR_F110W,WFC3_IR_F125W,WFC3_IR_F140W,WFC3_IR_F160W,IRAC_1,IRAC_2,IRAC_3,IRAC_4,ISAAC_Ks,FORS_V,FORS_R,NICMOS_F110W,NICMOS_F160W,GALEX_FUV,GALEX_NUV,DES_g,DES_r,DES_i,DES_z,DES_Y,WFCAM_Z,WFCAM_Y,WFCAM_J,WFCAM_H,WFCAM_K,Steidel_Un,Steidel_G,Steidel_Rs,Steidel_I,MegaCam_u,MegaCam_g,MegaCam_r,MegaCam_i,MegaCam_z,WISE_W1,WISE_W2,WISE_W3,WISE_W4,UVOT_W2,UVOT_M2,UVOT_W1,MIPS_24,MIPS_70,MIPS_160,SCUBA_450WB,SCUBA_850WB,PACS_70,PACS_100,PACS_160,SPIRE_250,SPIRE_350,SPIRE_500,IRAS_12,IRAS_25,IRAS_60,IRAS_100,Bessell_L,Bessell_LP,Bessell_M,Stromgren_u,Stromgren_v,Stromgren_b,Stromgren_y,I1500,I2300,I2800,JWST_F070W,JWST_F090W,JWST_F115W,JWST_F150W,JWST_F200W,JWST_F277W,JWST_F356W,JWST_F444W,NEWFIRM_J1,NEWFIRM_J2,NEWFIRM_J3,NEWFIRM_H1,NEWFIRM_H2,NEWFIRM_K,VISTA_Y,VISTA_J,VISTA_H,VISTA_K,SUPRIMECAM_B,SUPRIMECAM_g,SUPRIMECAM_V,SUPRIMECAM_r,SUPRIMECAM_i,SUPRIMECAM_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y
8.55,-3.0,0.09,0.09,-3.0284,3.4781,5.285,0.0,0.4787,-0.9388,-99.0,14.675,18.23,16.065,15.972,13.317,12.02,15.954,13.541,11.95,11.378,11.301,11.563,18.426,15.646,13.874,12.393,11.679,23.703,19.481,18.834,16.145,15.846,14.635,14.035,12.047,11.651,16.128,15.556,14.804,14.114,13.805,12.197,12.013,11.662,23.302,22.822,23.508,19.759,17.018,16.111,15.513,14.78,14.145,12.234,12.039,11.645,11.545,11.452,11.433,11.382,11.409,11.369,12.088,12.581,13.072,13.597,11.562,14.587,13.333,11.465,11.353,45.967,28.674,15.47,13.745,12.155,11.646,11.556,11.722,11.501,11.381,11.315,11.579,18.251,15.623,13.308,11.991,17.211,15.383,13.84,12.212,11.69,12.102,12.643,14.26,15.615,21.836,26.249,20.508,15.772,18.09,19.764,22.089,23.456,18.029,18.786,19.779,20.757,21.491,22.254,14.273,15.748,17.572,18.758,12.074,12.129,12.783,19.15,16.475,15.533,14.689,48.472,33.668,24.342,12.982,11.655,11.398,11.385,11.552,12.066,12.092,12.505,11.45,11.387,11.381,11.337,11.299,11.569,11.521,11.382,11.312,11.566,15.919,15.561,14.693,13.824,12.211,11.644,15.426,13.881,12.343,11.723,11.545
8.55,-3.0,0.09148169,0.0915,-3.0101,3.4807,5.2843,0.0,0.4787,-1.5317,-99.0,14.521,18.056,15.898,15.804,13.222,11.961,15.783,13.433,11.893,11.34,11.262,11.523,18.246,15.476,13.75,12.325,11.629,23.559,19.367,18.7,15.979,15.675,14.487,13.911,11.988,11.602,15.958,15.387,14.646,13.987,13.685,12.134,11.955,11.613,23.187,22.754,23.347,19.544,16.858,15.944,15.345,14.629,14.017,12.17,11.98,11.596,11.5,11.411,11.393,11.344,11.368,11.328,12.057,12.549,13.039,13.564,11.522,14.437,13.237,11.424,11.312,44.675,28.21,15.302,13.627,12.093,11.597,11.511,11.67,11.458,11.343,11.275,11.539,18.073,15.451,13.209,11.933,17.056,15.215,13.719,12.149,11.64,12.068,12.611,14.228,15.584,21.692,26.065,20.344,15.741,18.06,19.733,22.059,23.426,17.999,18.755,19.749,20.726,21.46,22.224,14.241,15.717,17.542,18.728,12.042,12.099,12.749,18.948,16.325,15.36,14.528,47.145,32.675,23.98,12.897,11.607,11.358,11.344,11.509,12.025,12.06,12.473,11.408,11.349,11.343,11.296,11.259,11.528,11.476,11.344,11.272,11.525,15.749,15.391,14.535,13.703,12.148,11.596,15.257,13.758,12.276,11.672,11.5
8.55,-3.0,0.0960796,0.0961,-2.9469,3.4898,5.2787,0.0,0.4787,-1.407,-99.0,14.085,17.578,15.432,15.336,12.926,11.766,15.309,13.102,11.705,11.211,11.127,11.386,17.754,15.005,13.382,12.103,11.464,23.145,19.023,18.308,15.515,15.202,14.063,13.542,11.794,11.438,15.489,14.917,14.2,13.612,13.327,11.928,11.764,11.449,22.839,22.535,22.896,18.986,16.406,15.479,14.876,14.197,13.64,11.961,11.787,11.433,11.348,11.272,11.256,11.214,11.231,11.189,11.95,12.44,12.926,13.453,11.385,14.008,12.94,11.284,11.174,43.275,27.301,14.835,13.274,11.891,11.434,11.359,11.498,11.31,11.213,11.14,11.403,17.584,14.975,12.905,11.741,16.617,14.749,13.355,11.942,11.474,11.953,12.502,14.119,15.478,21.278,25.564,19.884,15.636,17.956,19.63,21.956,23.323,17.895,18.652,19.646,20.623,21.357,22.121,14.132,15.612,17.438,18.625,11.934,11.998,12.636,18.415,15.897,14.882,14.073,45.734,31.391,23.193,12.627,11.445,11.226,11.205,11.365,11.885,11.953,12.367,11.268,11.219,11.212,11.159,11.125,11.391,11.326,11.214,11.137,11.387,15.277,14.92,14.091,13.343,11.942,11.433,14.789,13.392,12.057,11.502,11.349
8.55,-3.0,0.1,0.1,-2.8907,3.4985,5.2745,0.0,0.4787,-1.1592,-99.0,13.767,17.24,15.099,15.002,12.692,11.604,14.971,12.844,11.548,11.101,11.013,11.269,17.408,14.669,13.102,11.919,11.324,22.84,18.758,18.014,15.184,14.865,13.752,13.262,11.632,11.3,15.154,14.582,13.877,13.328,13.052,11.756,11.604,11.31,22.572,22.353,22.571,18.608,16.08,15.146,14.541,13.881,13.355,11.787,11.626,11.295,11.218,11.154,11.14,11.104,11.114,11.071,11.86,12.349,12.83,13.36,11.269,13.694,12.705,11.166,11.057,42.661,26.797,14.501,13.004,11.722,11.297,11.23,11.352,11.184,11.103,11.025,11.288,17.24,14.636,12.665,11.58,16.298,14.415,13.079,11.77,11.333,11.856,12.409,14.027,15.389,20.972,25.214,19.555,15.547,17.869,19.543,21.869,23.236,17.808,18.565,19.559,20.536,21.27,22.034,14.04,15.523,17.35,18.538,11.842,11.912,12.539,18.049,15.584,14.542,13.746,45.118,30.797,22.728,12.409,11.308,11.114,11.087,11.242,11.767,11.862,12.277,11.149,11.109,11.101,11.043,11.011,11.274,11.198,11.104,11.022,11.27,14.941,14.584,13.769,13.067,11.77,11.296,14.454,13.114,11.876,11.359,11.22
8.55,-3.0,0.11242417,0.1124,-2.747,3.5152,5.2485,0.0,0.4787,-1.1196,-99.0,13.042,16.577,14.422,14.312,12.115,11.194,14.285,12.21,11.151,10.806,10.717,10.97,16.723,13.935,12.453,11.444,10.974,21.987,18.113,17.264,14.539,14.144,13.046,12.6,11.219,10.952,14.485,13.848,13.147,12.658,12.404,11.316,11.196,10.962,22.017,21.873,21.576,17.738,15.491,14.495,13.806,13.169,12.683,11.339,11.214,10.949,10.888,10.843,10.833,10.808,10.811,10.767,11.6,12.088,12.563,13.097,10.97,12.98,12.125,10.854,10.756,38.528,25.069,13.764,12.357,11.291,10.951,10.9,10.993,10.861,10.808,10.727,10.99,16.571,13.894,12.05,11.176,15.719,13.677,12.433,11.327,10.981,11.584,12.147,13.768,15.136,20.304,24.402,18.872,15.294,17.618,19.294,21.619,22.987,17.558,18.315,19.309,20.287,21.021,21.785,13.78,15.269,17.099,18.288,11.579,11.661,12.271,17.252,15.047,13.822,13.001,40.694,27.946,21.417,11.858,10.962,10.814,10.782,10.933,11.462,11.6,12.019,10.837,10.813,10.805,10.742,10.716,10.975,10.872,10.808,10.725,10.97,14.254,13.845,13.039,12.42,11.329,10.951,13.711,12.464,11.409,11.002,10.89
8.55,-3.0,0.12,0.12,-2.6606,3.5258,5.2329,0.0,0.4787,-1.0372,-99.0,12.628,16.192,14.033,13.918,11.768,10.949,13.892,11.834,10.914,10.638,10.551,10.804,16.325,13.52,12.07,11.155,10.769,21.487,17.727,16.827,14.166,13.735,12.64,12.211,10.97,10.75,14.1,13.432,12.731,12.267,12.021,11.05,10.952,10.759,21.686,21.576,21.017,17.253,15.145,14.118,13.39,12.76,12.29,11.068,10.966,10.747,10.697,10.664,10.657,10.639,10.639,10.597,11.453,11.942,12.413,12.95,10.803,12.57,11.777,10.675,10.588,37.549,24.301,13.347,11.975,11.03,10.75,10.709,10.785,10.675,10.639,10.561,10.825,16.181,13.476,11.682,10.934,15.38,13.26,12.052,11.058,10.776,11.43,12.0,13.624,14.994,19.915,23.925,18.476,15.152,17.479,19.155,21.48,22.847,17.418,18.176,19.17,20.148,20.882,21.646,13.635,15.127,16.959,18.148,11.431,11.521,12.12,16.796,14.732,13.414,12.579,39.708,27.029,20.766,11.525,10.76,10.642,10.611,10.76,11.29,11.453,11.874,10.657,10.644,10.637,10.574,10.551,10.808,10.684,10.64,10.559,10.803,13.86,13.428,12.623,12.038,11.062,10.75,13.291,12.081,11.127,10.793,10.699
8.55,-3.0,0.14,0.14,-2.4805,3.5416,5.183,0.0,0.4787,-0.9479,-99.0,11.784,15.224,13.126,13.022,11.012,10.415,12.982,11.047,10.405,10.322,10.249,10.499,15.345,12.671,11.217,10.557,10.334,20.432,16.873,15.948,13.221,12.873,11.786,11.386,10.441,10.325,13.177,12.583,11.884,11.443,11.189,10.485,10.429,10.33,20.818,20.9,19.912,16.264,14.147,13.179,12.542,11.909,11.465,10.496,10.439,10.324,10.308,10.303,10.314,10.322,10.326,10.289,11.187,11.679,12.145,12.687,10.498,11.719,11.019,10.319,10.281,35.847,22.903,12.502,11.157,10.474,10.326,10.322,10.34,10.306,10.325,10.257,10.522,15.202,12.632,10.93,10.409,14.414,12.413,11.204,10.491,10.337,11.152,11.736,13.363,14.738,19.044,22.819,17.536,14.896,17.225,18.902,21.227,22.595,17.165,17.923,18.917,19.895,20.629,21.393,13.374,14.871,16.706,17.895,11.162,11.265,11.85,15.792,13.723,12.541,11.741,37.995,25.427,19.569,10.824,10.327,10.309,10.301,10.447,10.983,11.186,11.614,10.297,10.322,10.325,10.268,10.25,10.503,10.309,10.325,10.256,10.497,12.953,12.581,11.775,11.201,10.495,10.324,12.452,11.236,10.537,10.341,10.303
8.55,-3.0,0.16,0.16,-2.3606,3.5516,5.161,0.0,0.4787,-0.94,-99.0,11.37,14.796,12.696,12.593,10.641,10.139,12.549,10.659,10.136,10.092,10.027,10.278,14.915,12.247,10.816,10.247,10.092,19.774,16.429,15.479,12.788,12.446,11.372,10.986,10.162,10.085,12.744,12.161,11.467,11.04,10.789,10.192,10.153,10.089,20.402,20.478,19.221,15.755,13.714,12.746,12.119,11.494,11.062,10.199,10.161,10.085,10.074,10.073,10.083,10.092,10.094,10.06,10.983,11.481,11.943,12.486,10.277,11.305,10.647,10.086,10.055,34.349,21.973,12.08,10.761,10.185,10.087,10.088,10.097,10.074,10.094,10.034,10.302,14.782,12.207,10.554,10.136,13.992,11.991,10.803,10.197,10.094,10.941,11.538,13.165,14.543,18.616,22.172,17.087,14.701,17.032,18.709,21.034,22.402,16.971,17.73,18.724,19.702,20.436,21.2,13.176,14.676,16.512,17.702,10.956,11.067,11.649,15.307,13.289,12.11,11.323,36.543,24.283,18.846,10.472,10.086,10.079,10.071,10.22,10.756,10.981,11.416,10.068,10.092,10.093,10.041,10.03,10.283,10.077,10.094,10.033,10.276,12.521,12.159,11.359,10.801,10.201,10.085,12.03,10.834,10.231,10.097,10.07
8.55,-3.0,0.18935603,0.1894,-2.2081,3.5623,5.1244,0.0,0.4787,-1.1047,-99.0,10.924,14.353,12.24,12.136,10.231,9.816,12.09,10.234,9.817,9.787,9.73,9.983,14.472,11.791,10.385,9.89,9.796,19.148,15.961,14.99,12.332,11.989,10.928,10.552,9.833,9.79,12.287,11.706,11.018,10.604,10.356,9.852,9.828,9.794,19.957,20.012,18.578,15.24,13.265,12.29,11.665,11.048,10.626,9.855,9.833,9.79,9.78,9.777,9.782,9.787,9.786,9.756,10.703,11.209,11.667,12.213,9.982,10.861,10.237,9.785,9.754,33.395,21.202,11.626,10.33,9.848,9.792,9.793,9.8,9.778,9.789,9.736,10.008,14.349,11.749,10.138,9.815,13.553,11.537,10.372,9.855,9.798,10.653,11.266,12.893,14.274,18.161,21.554,16.616,14.433,16.765,18.442,20.768,22.135,16.704,17.463,18.457,19.435,20.169,20.933,12.904,14.407,16.244,17.435,10.674,10.794,11.377,14.813,12.838,11.65,10.873,35.606,23.422,18.187,10.078,9.789,9.779,9.765,9.919,10.453,10.699,11.144,9.773,9.788,9.787,9.739,9.735,9.988,9.781,9.789,9.735,9.981,12.063,11.704,10.911,10.368,9.859,9.791,11.576,10.401,9.878,9.8,9.777
8.55,-3.0,0.2,0.2,-2.1579,3.5657,5.1119,0.0,0.4787,-1.0496,-99.0,10.785,14.218,12.1,11.996,10.102,9.711,11.949,10.101,9.713,9.688,9.633,9.887,14.336,11.651,10.251,9.775,9.7,18.972,15.82,14.843,12.192,11.847,10.79,10.417,9.727,9.694,12.146,11.566,10.879,10.469,10.221,9.742,9.723,9.697,19.82,19.871,18.399,15.087,13.126,12.149,11.525,10.909,10.49,9.745,9.727,9.694,9.684,9.681,9.685,9.688,9.685,9.657,10.611,11.121,11.577,12.123,9.886,10.723,10.108,9.687,9.656,33.165,20.998,11.486,10.196,9.74,9.697,9.697,9.704,9.682,9.69,9.639,9.913,14.216,11.608,10.007,9.711,13.417,11.396,10.237,9.745,9.702,10.559,11.178,12.804,14.186,18.02,21.379,16.473,14.345,16.677,18.355,20.681,22.048,16.617,17.376,18.37,19.348,20.082,20.846,12.815,14.319,16.157,17.348,10.582,10.704,11.288,14.665,12.699,11.508,10.733,35.379,23.202,18.006,9.954,9.693,9.682,9.665,9.821,10.355,10.607,11.056,9.677,9.69,9.687,9.641,9.638,9.892,9.685,9.69,9.638,9.884,11.922,11.563,10.772,10.233,9.749,9.695,11.436,10.266,9.765,9.703,9.681
